155|些|些|ʃɛ55|ʃɛː55|se1|||
156|寫|写|ɬɛ35|ɬɛː35|sle2|||
157|瀉|泻|ɬɛ33|ɬɛː33|sle3|||
158|卸|卸|ɬɛ33|ɬɛː33|sle3|||
159|邪|邪|tʃʰɛ21|t͡ʃʰɛː21|ce4|||
160|斜|斜|tʃʰɛ21|t͡ʃʰɛː21|ce4|||
161|謝|谢|tʃɛ22|t͡ʃɛː22|ze6|||
162|爹|爹|tɛ55|tɛː55|de1|||
163|遮|遮|tʃɛ55|t͡ʃɛː55|ze1|||
164|者|者|tʃɛ35|t͡ʃɛː35|ze2|||
165|蔗|蔗|tʃɛ33|t͡ʃɛː33|ze3|||
166|車|车|tʃʰɛ55|t͡ʃʰɛː55|ce1|||
167|車|车|ky55|kyː55|gyu1||車馬炮。|
168|蛇|蛇|ʃɛ21|ʃɛː21|se4|||
169|射|射|ʃɛ22|ʃɛː22|se6|||
170|麝|麝|ʃɛ22|ʃɛː22|se6||麝香。|
171|賒|赊|ʃɛ55|ʃɛː55|se1|||原網作「賖」字。
172|奢|奢|ʃɛ55|ʃɛː55|se1|||
173|捨|舍|ʃɛ35|ʃɛː35|se2|||
174|舍|舍|ʃɛ35|ʃɛː35|se2|||
175|舍|舍|ʃɛ33|ʃɛː33|se3|||
176|赦|赦|ɬɛ33|ɬɛː33|sle3|||
177|佘|佘|ʃɛ55|ʃɛː55|se1||姓。|原網誤作「余」字。
178|社|社|ʃɛ23|ʃɛː24|se5|||
179|惹|惹|0iɛ23|jɛː24|je5|||
180|耶|耶|0iɛ21|jɛː21|je4|||
181|也|也|0ia23|jaː24|jaa5||也是。|
182|野|野|0iɛ23|jɛː24|je5|||
183|夜|夜|0iɛ22|jɛː22|je6|||
184|傻|傻|ɬɔ21|ɬɔː21|slo4|||
185|瓜|瓜|kua55|kʷaː55|gwaa1|||
186|蝸|蜗|0uɔ55|wɔː55|wo1|||
187|寡|寡|kua35|kʷaː35|gwaa2|||
188|剮|剐|kua35|kʷaː35|gwaa2|||
189|誇|夸|kʰua55|kʷʰaː55|kwaa1|||
190|跨|跨|kʰua55|kʷʰaː55|kwaa1|||
191|瓦|瓦|ŋa23|ŋaː24|ngaa5|||
192|花|花|0ua55|waː55|waa1|||
193|化|化|fa33|faː33|faa3|||
194|鏵|铧|0ua21|waː21|waa4|||
195|划|划|0uak2|waːk̚2|waak6||划船。|
196|華|华|0ua55|waː55|waa1|||同「花」字。
197|華|华|0ua21|waː21|waa4||中華；華山、姓華讀音亦同。|
198|樺|桦|0ua21|waː21|waa4||樺樹。|
199|蛙|蛙|0ua55|waː55|waa1|||
200|窪|洼|0ua55|waː55|waa1|||
201|補|补|pu35|puː35|bu2|||
202|譜|谱|pʰu35|pʰuː35|pu2|||
203|布|布|pu33|puː33|bu3|||
204|佈|布|pu33|puː33|bu3|||
205|鋪|铺|pʰu55|pʰuː55|pu1||鋪設。|
206|鋪|铺|pʰu33|pʰuː33|pu3||店鋪。|
207|普|普|pʰu35|pʰuː35|pu2|||
208|浦|浦|pʰu35|pʰuː35|pu2|||
209|怖|怖|pu33|puː33|bu3||恐怖。|
210|蒲|蒲|pʰu35|pʰuː35|pu2|||
211|菩|菩|pʰu21|pʰuː21|pu4||菩薩。|
212|脯|脯|pʰu35|pʰuː35|pu2||杏脯。|
213|脯|脯|pʰu21|pʰuː21|pu4||胸脯。|原網作「䔕」字。
214|部|部|pu22|puː22|bu6|||
215|簿|簿|pu22|puː22|bu6|||
216|步|步|pu22|puː22|bu6|||
217|捕|捕|pu22|puː22|bu6|||
218|模|模|mɔ55|mɔː55|mo1||模子、模範讀音亦同。|
219|暮|暮|mu22|muː22|mu6|||
220|慕|慕|mu22|muː22|mu6|||
221|墓|墓|mu22|muː22|mu6|||
222|募|募|mu22|muː22|mu6|||
223|都|都|tu55|tuː55|du1||都城。|
224|堵|堵|tu35|tuː35|du2|||
225|賭|赌|tu35|tuː35|du2|||
226|肚|肚|tʰu23|tʰuː24|tu5||腹肚；魚肚。|
227|妬|妒|tu22|tuː22|du6|||原網作「妒」字。
228|妒|妒|tu22|tuː22|du6|||
229|土|土|tʰu35|tʰuː35|tu2|||
230|吐|吐|tʰu33|tʰuː33|tu3||嘔吐。|
231|兔|兔|tʰu33|tʰuː33|tu3|||
232|途|途|tʰu21|tʰuː21|tu4|||
233|屠|屠|tʰu21|tʰuː21|tu4|||
234|徒|徒|tʰu21|tʰuː21|tu4|||
235|塗|涂|tʰu21|tʰuː21|tu4|||
236|圖|图|tʰu21|tʰuː21|tu4|||
237|杜|杜|tu22|tuː22|du6|||
238|度|度|tu22|tuː22|du6|||
239|渡|渡|tu22|tuː22|du6|||
240|鍍|镀|tu22|tuː22|du6|||
241|奴|奴|nu21|nuː21|nu4|||
242|努|努|nu23|nuː24|nu5|||
243|怒|怒|nu22|nuː22|nu6|||
244|盧|卢|lu21|luː21|lu4|||
245|爐|炉|lu21|luː21|lu4|||
246|蘆|芦|lu21|luː21|lu4||蘆葦。|
247|鸕|鸬|lu21|luː21|lu4||鸕鶿。|
248|魯|鲁|lu23|luː24|lu5|||
249|櫓|橹|lu23|luː24|lu5|||
250|虜|虏|lu23|luː24|lu5|||
251|滷|卤|lu23|luː24|lu5|||
252|路|路|lu22|luː22|lu6|||
253|賂|赂|lu22|luː22|lu6|||
254|露|露|lu22|luː22|lu6|||
255|鷺|鹭|lu22|luː22|lu6||鷺鷥。|
256|租|租|tʃu55|t͡ʃuː55|zu1|||
257|祖|祖|tʃu35|t͡ʃuː35|zu2|||
258|組|组|tʃu35|t͡ʃuː35|zu2|||
259|做|做|tʃu33|t͡ʃuː33|zu3|||原網作「作」字，《廣韻》作同做。
260|粗|粗|tʃʰu55|t͡ʃʰuː55|cu1|||
261|醋|醋|tʃʰu33|t͡ʃʰuː33|cu3|||
262|措|措|tʃʰɔ33|t͡ʃʰɔː33|co3||措置。|
263|錯|错|tʃʰɔ33|t͡ʃʰɔː33|co3||錯誤。|
264|蘇|苏|ɬu55|ɬuː55|slu1|||
265|酥|酥|ɬu55|ɬuː55|slu1|||
266|素|素|ɬu33|ɬuː33|slu3|||
267|訴|诉|ɬu33|ɬuː33|slu3|||
268|塑|塑|ɬɔk3|ɬɔːk̚3|slok3||塑像。|
269|嗉|嗉|ɬui33|ɬuːi33|slui3||鳥嗉子。|
270|姑|姑|ku55|kuː55|gu1|||
271|孤|孤|ku55|kuː55|gu1|||
272|箍|箍|kʰu55|kʰuː55|ku1|||
273|古|古|ku35|kuː35|gu2|||
274|估|估|ku35|kuː35|gu2||估計。|
275|䀇|䀇|ku35|kuː35|gu2||䀇子。|
276|牯|牯|ku35|kuː35|gu2|||
277|股|股|ku35|kuː35|gu2|||
278|鼓|鼓|ku35|kuː35|gu2|||
279|故|故|ku33|kuː33|gu3|||
280|固|固|ku33|kuː33|gu3|||
281|雇|雇|ku33|kuː33|gu3|||
282|顧|顾|ku33|kuː33|gu3|||
283|枯|枯|fu55|fuː55|fu1|||
284|苦|苦|fu35|fuː35|fu2|||
285|庫|库|fu33|fuː33|fu3|||
286|褲|裤|fu33|fuː33|fu3|||原網作「袴」字。
287|吳|吴|0ŋ̩21|ŋ̩21|ng4|||
288|蜈|蜈|0ŋ̩21|ŋ̩21|ng4||蜈蚣。|
289|吾|吾|0ŋ̩21|ŋ̩21|ng4|||
290|梧|梧|0ŋ̩21|ŋ̩21|ng4||梧桐。|
291|五|五|0ŋ̩23|ŋ̩24|ng5|||
292|伍|伍|0ŋ̩23|ŋ̩24|ng5|||
293|午|午|0ŋ̩23|ŋ̩24|ng5|||
294|誤|误|0ŋ̩22|ŋ̩22|ng6|||
295|悟|悟|0ŋ̩22|ŋ̩22|ng6|||
296|呼|呼|fu55|fuː55|fu1|||
297|虎|虎|fu35|fuː35|fu2|||
298|滸|浒|fu35|fuː35|fu2||水滸。|
299|戽|戽|fu33|fuː33|fu3||戽水。|
300|胡|胡|0u21|wuː21|wu4|||
301|衚|胡|0u21|wuː21|wu4|||
302|湖|湖|0u21|wuː21|wu4|||
303|狐|狐|0u21|wuː21|wu4|||
304|壺|壶|0u21|wuː21|wu4|||
305|乎|乎|fu55|fuː55|fu1|||
306|瓠|瓠|kʰu21|kʰuː21|ku4||瓠盧。|
307|鬍|胡|0u21|wuː21|wu4|||
308|戶|户|0u22|wuː22|wu6|||
309|滬|沪|0u22|wuː22|wu6|||
310|互|互|0ŋ̩22|ŋ̩22|ng6|||
311|護|护|0u22|wuː22|wu6|||
312|烏|乌|0u55|wuː55|wu1|||
313|污|污|0u55|wuː55|wu1|||
314|汙|污|0u55|wuː55|wu1|||
315|塢|坞|0u33|wuː33|wu3|||
316|惡|恶|0ɔk3|Øɔːk̚3|ok3||善惡。|
317|惡|恶|0u33|wuː33|wu3||可惡。|
318|女|女|ny23|nyː24|nyu5|||
319|廬|庐|lu21|luː21|lu4||茅廬。|
320|驢|驴|ly21|lyː21|lyu4|||
321|呂|吕|ly23|lyː24|lyu5|||
322|旅|旅|ly23|lyː24|lyu5|||
323|慮|虑|ly22|lyː22|lyu6|||
324|蛆|蛆|tʃʰy55|t͡ʃʰyː55|cyu1||生蛆。|
325|絮|絮|ʃy33|ʃyː33|syu3|||
326|徐|徐|tʃʰy21|t͡ʃʰyː21|cyu4|||
327|序|序|tʃy22|t͡ʃyː22|zyu6|||
328|敘|叙|ʃy22|ʃyː22|syu6|||
329|敍|叙|ʃy22|ʃyː22|syu6|||原網作「敘」字。
330|緒|绪|ʃy33|ʃyː33|syu3|||
331|豬|猪|tʃy55|t͡ʃyː55|zyu1|||
332|著|著|tʃy33|t͡ʃyː33|zyu3||顯著。|
333|著|著|tʃøk3|t͡ʃœːk̚3|zoek3||着水。|舊同「着」字。
334|著|著|tʃøk2|t͡ʃœːk̚2|zoek6||睡着。|舊同「着」字。
335|褚|褚|tʃʰy21|t͡ʃʰyː21|cyu4||姓。|
336|除|除|tʃʰy21|t͡ʃʰyː21|cyu4|||
337|儲|储|tʃʰy21|t͡ʃʰyː21|cyu4||儲蓄。|
338|苧|苎|tʃʰy23|t͡ʃʰyː24|cyu5||苧麻。|
339|箸|箸|tʃy33|t͡ʃyː33|zyu3||筷子。|
340|阻|阻|tʃɔ35|t͡ʃɔː35|zo2|||
341|初|初|tʃʰɔ55|t͡ʃʰɔː55|co1|||
342|楚|楚|tʃʰɔ35|t͡ʃʰɔː35|co2|||
343|鋤|锄|tʃʰɔ21|t͡ʃʰɔː21|co4|||
344|助|助|tʃɔ22|t͡ʃɔː22|zo6|||
345|梳|梳|ʃɔ55|ʃɔː55|so1||梳頭。|
346|疏|疏|ʃɔ55|ʃɔː55|so1||疏遠。|
347|蔬|蔬|ʃɔ55|ʃɔː55|so1|||
348|所|所|ɬɔ35|ɬɔː35|slo2|||
349|諸|诸|tʃy55|t͡ʃyː55|zyu1|||
350|煮|煮|tʃy35|t͡ʃyː35|zyu2|||
351|煑|煮|tʃy35|t͡ʃyː35|zyu2|||
352|處|处|tʃʰy33|t͡ʃʰyː33|cyu3||相處；處所。|
353|書|书|ʃy55|ʃyː55|syu1|||
354|舒|舒|ʃy55|ʃyː55|syu1|||
355|鼠|鼠|ʃy35|ʃyː35|syu2|||
356|暑|暑|ʃy35|ʃyː35|syu2|||
